Term, TermFreq >= 1, PosClassDiff (correct-estimate), NegClassDiff, PosClassAvDiff, NegClassAvDiff, CorrectClass1pos, CorrectClass2pos, CorrectClass3pos, CorrectClass4pos, CorrectClass5pos, CorrectClass1neg, CorrectClass2neg, CorrectClass3neg, CorrectClass4neg, CorrectClass5neg, ,
base,5,4,5,1,0,2,2,1,0,0,2,2,0,1,0, ,
output,5,0,5,1,0,2,3,0,0,0,2,1,1,1,0, ,
somewhere,4,2,3,1,0,2,1,1,0,0,0,2,1,1,0, ,
7,4,1,3,1,0,2,2,0,0,0,2,0,1,1,0, ,
python,4,1,3,1,0,2,2,0,0,0,1,2,0,1,0, ,
dev,4,0,3,1,0,3,0,1,0,0,3,0,0,1,0, ,
creating,4,2,4,1,0,2,2,0,0,0,1,2,0,1,0, ,
args,3,1,2,1,0,2,1,0,0,0,0,3,0,0,0, ,
clean,3,1,2,1,0,1,2,0,0,0,1,1,1,0,0, ,
reasons,3,1,2,1,0,1,1,1,0,0,2,0,1,0,0, ,
anywhere,3,0,2,1,0,3,0,0,0,0,1,0,2,0,0, ,
crash,3,0,2,1,0,2,1,0,0,0,0,2,1,0,0, ,
ever,3,0,2,1,0,3,0,0,0,0,2,0,1,0,0, ,
foo,3,0,2,1,0,2,1,0,0,0,1,1,1,0,0, ,
handling,3,0,2,1,0,2,1,0,0,0,1,1,1,0,0, ,
srv,3,0,2,1,0,3,0,0,0,0,1,2,0,0,0, ,
constants,3,-1,2,1,0,3,0,0,0,0,2,0,1,0,0, ,
modify,3,2,3,1,0,1,2,0,0,0,0,2,1,0,0, ,
people,3,1,3,1,0,2,1,0,0,0,1,1,1,0,0, ,
explain,3,0,3,1,0,2,1,0,0,0,1,0,1,1,0, ,
processobject,2,2,2,1,0,0,2,0,0,0,0,2,0,0,0, ,
ago,2,1,2,1,0,0,2,0,0,0,1,0,0,1,0, ,
article,2,1,2,1,0,1,1,0,0,0,1,0,0,1,0, ,
guaranteed,2,1,2,1,0,1,1,0,0,0,1,0,1,0,0, ,
saying,2,1,2,1,0,0,2,0,0,0,0,2,0,0,0, ,
20,2,0,2,1,0,2,0,0,0,0,0,2,0,0,0, ,
autogen,2,0,2,1,0,2,0,0,0,0,0,2,0,0,0, ,
definitely,2,0,2,1,0,0,2,0,0,0,0,1,1,0,0, ,
improvement,2,0,2,1,0,0,2,0,0,0,1,0,1,0,0, ,
irc,2,0,2,1,0,2,0,0,0,0,0,2,0,0,0, ,
root,2,0,2,1,0,0,2,0,0,0,0,2,0,0,0, ,
rule,2,0,2,1,0,2,0,0,0,0,0,2,0,0,0, ,
sh,2,0,2,1,0,2,0,0,0,0,0,2,0,0,0, ,
8192,1,2,1,1,0,0,0,1,0,0,0,1,0,0,0, ,
catched,1,2,1,1,0,0,0,1,0,0,0,0,1,0,0, ,
contructor,1,2,1,1,0,0,0,1,0,0,0,0,1,0,0, ,
flipping,1,2,1,1,0,0,0,1,0,0,0,1,0,0,0, ,
sufficent,1,2,1,1,0,0,0,1,0,0,0,0,1,0,0, ,
1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
528,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0, ,
$scopedata,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
alternative,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
assumes,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
bcoz,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
ceiling,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
chromium,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
cleanest,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
determined,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
discussions,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
edwin,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
enables,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
equal,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0, ,
integer,2,0,1,0.6666667,0,1,1,0,0,0,1,1,0,0,0, ,
layer,2,0,1,0.6666667,0,0,2,0,0,0,1,1,0,0,0, ,
lower,2,0,1,0.6666667,0,1,1,0,0,0,0,2,0,0,0, ,
maintain,2,0,1,0.6666667,0,2,0,0,0,0,0,2,0,0,0, ,
onclick,2,0,1,0.6666667,0,2,0,0,0,0,0,2,0,0,0, ,
row,2,0,1,0.6666667,0,1,1,0,0,0,0,1,1,0,0, ,
simplified,2,0,1,0.6666667,0,1,1,0,0,0,1,0,1,0,0, ,
supported,2,0,1,0.6666667,0,0,2,0,0,0,1,1,0,0,0, ,
t,2,0,1,0.6666667,0,2,0,0,0,0,0,2,0,0,0, ,
tables,2,0,1,0.6666667,0,2,0,0,0,0,1,1,0,0,0, ,
common,2,0,1,0.6,0,2,0,0,0,0,1,1,0,0,0, ,
1,43,17,17,0.5,0,20,19,3,1,0,22,13,7,1,0, ,
else,21,1,8,0.5,0,10,9,2,0,0,9,8,3,1,0, ,
looks,21,1,9,0.5,0,4,16,1,0,0,9,8,3,1,0, ,
issue,12,1,5,0.5,0,5,7,0,0,0,3,7,1,1,0, ,
3,11,6,5,0.5,0,7,2,2,0,0,5,5,1,0,0, ,
someone,11,1,5,0.5,0,2,8,1,0,0,4,4,2,1,0, ,
<,10,3,4,0.5,0,5,4,1,0,0,5,4,1,0,0, ,
],10,2,4,0.5,0,6,4,0,0,0,4,6,0,0,0, ,
init,9,1,4,0.5,0,6,3,0,0,0,6,2,0,1,0, ,
along,8,1,3,0.5,0,4,4,0,0,0,2,4,1,1,0, ,
server,8,1,3,0.5,0,4,4,0,0,0,3,1,3,1,0, ,
being,8,0,3,0.5,0,6,2,0,0,0,4,3,0,1,0, ,
oustring,7,3,3,0.5,0,3,4,0,0,0,3,4,0,0,0, ,
less,7,2,3,0.5,0,3,4,0,0,0,2,4,0,1,0, ,
leave,7,0,3,0.5,0,6,1,0,0,0,5,1,0,1,0, ,
engine,6,0,3,0.5,0,1,5,0,0,0,2,4,0,0,0, ,
member,6,0,3,0.5,0,4,2,0,0,0,1,4,1,0,0, ,
param,6,0,3,0.5,0,6,0,0,0,0,3,2,1,0,0, ,
hi,5,2,2,0.5,0,3,2,0,0,0,2,2,1,0,0, ,
policy,5,2,2,0.5,0,0,3,2,0,0,1,2,2,0,0, ,
breaks,5,1,2,0.5,0,4,1,0,0,0,4,0,1,0,0, ,
extensions,5,1,2,0.5,0,3,1,1,0,0,2,3,0,0,0, ,
references,5,1,2,0.5,0,3,2,0,0,0,2,1,0,2,0, ,
memory,5,0,2,0.5,0,4,1,0,0,0,1,2,2,0,0, ,
sql,5,0,2,0.5,0,4,1,0,0,0,3,2,0,0,0, ,
according,4,1,2,0.5,0,3,1,0,0,0,2,1,1,0,0, ,
yourself,4,1,2,0.5,0,2,2,0,0,0,1,2,1,0,0, ,
apache,4,0,2,0.5,0,4,0,0,0,0,3,0,1,0,0, ,
supposed,3,0,1,0.42105263,0,2,1,0,0,0,0,3,0,0,0, ,
implement,3,0,1,0.4,0,2,1,0,0,0,1,2,0,0,0, ,
indeed,3,0,1,0.4,0,1,2,0,0,0,1,1,1,0,0, ,
input,3,0,1,0.4,0,1,2,0,0,0,1,1,1,0,0, ,
invoked,3,0,1,0.4,0,3,0,0,0,0,2,1,0,0,0, ,
:,260,77,82,0.33333334,0,151,92,16,1,0,135,87,33,5,0, ,
good,40,1,11,0.33333334,0,0,37,3,0,0,24,12,2,2,0, ,
me,38,4,10,0.33333334,0,16,20,2,0,0,20,15,2,1,0, ,
>,19,4,6,0.33333334,0,12,6,1,0,0,11,6,2,0,0, ,
call,15,0,4,0.33333334,0,13,2,0,0,0,10,2,2,1,0, ,
@,14,1,4,0.33333334,0,10,4,0,0,0,10,2,2,0,0, ,
find,13,2,4,0.33333334,0,6,7,0,0,0,6,4,1,2,0, ,
5,12,2,4,0.33333334,0,8,4,0,0,0,4,4,4,0,0, ,
project,11,2,3,0.33333334,0,8,3,0,0,0,3,8,0,0,0, ,
missing,11,1,3,0.33333334,0,7,4,0,0,0,8,2,1,0,0, ,
enough,11,0,3,0.33333334,0,8,3,0,0,0,5,3,2,1,0, ,
making,7,2,2,0.33333334,0,3,4,0,0,0,3,4,0,0,0, ,
write,7,2,2,0.33333334,0,5,2,0,0,0,4,3,0,0,0, ,
access,7,1,2,0.33333334,0,4,3,0,0,0,5,1,1,0,0, ,
i've,7,1,2,0.33333334,0,4,3,0,0,0,5,1,1,0,0, ,
let,7,1,2,0.33333334,0,3,4,0,0,0,3,2,2,0,0, ,
thought,6,2,2,0.33333334,0,2,4,0,0,0,2,3,1,0,0, ,
calling,6,1,2,0.33333334,0,4,1,1,0,0,2,3,1,0,0, ,
difference,6,1,2,0.33333334,0,5,1,0,0,0,2,4,0,0,0, ,
feature,6,0,2,0.33333334,0,4,2,0,0,0,1,4,1,0,0, ,
entry,4,0,1,0.33333334,0,3,1,0,0,0,2,2,0,0,0, ,
issues,4,0,1,0.33333334,0,3,1,0,0,0,1,3,0,0,0, ,
none,4,0,1,0.33333334,0,3,1,0,0,0,2,2,0,0,0, ,
present,4,0,1,0.33333334,0,3,1,0,0,0,3,1,0,0,0, ,
size,4,0,1,0.33333334,0,2,1,1,0,0,3,1,0,0,0, ,
operator,3,3,1,0.33333334,0,1,1,1,0,0,2,1,0,0,0, ,
prefix,4,2,1,0.2857143,0,2,1,1,0,0,3,1,0,0,0, ,
global,8,1,2,0.27272728,0,2,6,0,0,0,4,4,0,0,0, ,
valid,8,2,2,0.26666668,0,6,1,1,0,0,2,6,0,0,0, ,
development,5,1,1,0.25,0,3,2,0,0,0,3,1,0,1,0, ,
load,5,1,1,0.25,0,1,4,0,0,0,0,3,2,0,0, ,
txt,5,1,1,0.25,0,4,1,0,0,0,4,1,0,0,0, ,
auto,5,0,1,0.25,0,2,3,0,0,0,3,1,1,0,0, ,
checks,5,0,1,0.25,0,5,0,0,0,0,4,1,0,0,0, ,
generated,5,0,1,0.25,0,3,2,0,0,0,2,2,1,0,0, ,
initialized,5,0,1,0.25,0,3,2,0,0,0,2,2,1,0,0, ,
key,5,0,1,0.25,0,2,3,0,0,0,1,4,0,0,0, ,
lot,5,0,1,0.25,0,4,1,0,0,0,3,2,0,0,0, ,
mysql,5,0,1,0.25,0,3,2,0,0,0,3,2,0,0,0, ,
places,5,0,1,0.25,0,3,2,0,0,0,3,2,0,0,0, ,
means,10,4,2,0.22222222,0,6,1,3,0,0,5,5,0,0,0, ,
usage,6,1,1,0.2,0,3,3,0,0,0,2,2,0,2,0, ,
versions,6,1,1,0.2,0,3,2,1,0,0,0,4,1,1,0, ,
double,6,0,1,0.2,0,2,4,0,0,0,4,2,0,0,0, ,
each,6,0,1,0.2,0,6,0,0,0,0,2,4,0,0,0, ,
field,6,0,1,0.2,0,4,2,0,0,0,1,5,0,0,0, ,
better,34,5,5,0.16666667,0,20,12,2,0,0,22,8,3,1,0, ,
entire,7,2,1,0.16666667,0,5,1,1,0,0,6,0,1,0,0, ,
handle,7,2,1,0.16666667,0,4,2,1,0,0,3,1,3,0,0, ,
per,7,1,1,0.16666667,0,4,3,0,0,0,4,3,0,0,0, ,
public,7,1,1,0.16666667,0,5,2,0,0,0,6,1,0,0,0, ,
those,7,1,1,0.16666667,0,4,3,0,0,0,6,1,0,0,0, ,
wonder,7,1,1,0.16666667,0,4,2,1,0,0,3,3,1,0,0, ,
assume,7,0,1,0.16666667,0,5,2,0,0,0,4,2,1,0,0, ,
callback,7,0,1,0.16666667,0,5,2,0,0,0,2,5,0,0,0, ,
classes,7,0,1,0.16666667,0,3,3,1,0,0,5,2,0,0,0, ,
ignore,7,0,1,0.16666667,0,5,2,0,0,0,5,2,0,0,0, ,
provided,7,0,1,0.16666667,0,5,1,1,0,0,4,2,1,0,0, ,
suggest,7,0,1,0.16666667,0,5,2,0,0,0,3,4,0,0,0, ,
that,262,41,34,0.14285715,0,145,99,17,1,0,125,103,26,8,0, ,
but,134,13,17,0.14285715,0,79,50,5,0,0,66,53,10,5,0, ,
still,31,3,4,0.14285715,0,23,7,1,0,0,11,16,3,1,0, ,
debug,8,0,1,0.14285715,0,7,1,0,0,0,4,4,0,0,0, ,
we're,8,0,1,0.14285715,0,5,3,0,0,0,6,1,1,0,0, ,
wait,8,7,1,0.13333334,0,4,1,3,0,0,2,6,0,0,0, ,
perhaps,9,1,1,0.125,0,7,2,0,0,0,5,4,0,0,0, ,
yeah,9,1,1,0.125,0,7,2,0,0,0,7,2,0,0,0, ,
&,9,0,1,0.125,0,5,4,0,0,0,5,3,1,0,0, ,
been,9,0,1,0.125,0,5,4,0,0,0,4,3,2,0,0, ,
context,9,0,1,0.125,0,8,1,0,0,0,2,7,0,0,0, ,
doc,9,0,1,0.125,0,6,3,0,0,0,7,2,0,0,0, ,
itk,9,0,1,0.125,0,8,1,0,0,0,8,1,0,0,0, ,
last,10,2,1,0.11111111,0,7,2,1,0,0,4,4,2,0,0, ,
library,10,2,1,0.11111111,0,7,3,0,0,0,6,3,1,0,0, ,
json,10,1,1,0.11111111,0,8,2,0,0,0,8,2,0,0,0, ,
m,10,0,1,0.11111111,0,8,2,0,0,0,8,2,0,0,0, ,
vdsm,10,0,1,0.11111111,0,5,5,0,0,0,3,6,1,0,0, ,
files,10,-1,1,0.11111111,0,7,3,0,0,0,6,3,0,1,0, ,
a,390,35,37,0.1,0,218,155,17,0,0,208,151,18,13,0, ,
sure,43,2,4,0.1,0,28,14,1,0,0,32,9,1,1,0, ,
might,21,5,2,0.1,0,12,7,2,0,0,10,10,0,1,0, ,
config,11,0,1,0.1,0,11,0,0,0,0,4,7,0,0,0, ,
FALSE,11,0,1,0.1,0,4,5,2,0,0,5,6,0,0,0, ,
you,209,28,18,0.09090909,0,122,78,8,1,0,123,62,22,2,0, ,
default,12,0,1,0.08695652,0,9,3,0,0,0,0,12,0,0,0, ,
adding,13,0,1,0.07692308,0,9,4,0,0,0,6,6,1,0,0, ,
and,273,17,18,0.06666667,0,181,85,7,0,0,160,98,14,1,0, ,
of,265,13,16,0.0625,0,172,85,7,1,0,144,98,15,8,0, ,
actually,29,3,1,0.04347826,0,15,13,1,0,0,16,11,1,1,0, ,
zz,1,0,0,0.032258064,0,1,0,0,0,0,0,1,0,0,0, ,
encountering,1,-1,0,0.032258064,0,0,1,0,0,0,0,1,0,0,0, ,
number,14,0,0,0,0,12,2,0,0,0,6,8,0,0,0, ,
update,14,0,0,0,0,6,7,1,0,0,8,4,2,0,0, ,
TRUE,14,0,0,0,0,1,12,0,1,0,5,7,2,0,0, ,
:),14,-2,0,0,0,2,12,0,0,0,9,4,0,1,0, ,
problem,13,1,0,0,0,10,3,0,0,0,0,12,1,0,0, ,
module,13,0,0,0,0,12,1,0,0,0,10,3,0,0,0, ,
next,13,0,0,0,0,10,3,0,0,0,10,3,0,0,0, ,
once,13,0,0,0,0,10,2,1,0,0,5,7,1,0,0, ,
array,12,0,0,0,0,8,4,0,0,0,6,6,0,0,0, ,
example,12,0,0,0,0,10,2,0,0,0,8,1,3,0,0, ,
http,12,0,0,0,0,10,2,0,0,0,9,3,0,0,0, ,
try,12,0,0,0,0,6,6,0,0,0,7,4,1,0,0, ,
uses,12,0,0,0,0,6,5,1,0,0,8,4,0,0,0, ,
wrong,12,0,0,0,0,12,0,0,0,0,0,11,0,1,0, ,
run,11,3,0,0,0,7,3,1,0,0,7,4,0,0,0, ,
static,11,1,0,0,0,8,3,0,0,0,0,11,0,0,0, ,
Ã±,11,0,0,0,0,11,0,0,0,0,11,0,0,0,0, ,
argument,11,0,0,0,0,9,1,1,0,0,0,10,1,0,0, ,
avoid,11,0,0,0,0,8,3,0,0,0,1,9,1,0,0, ,
description,11,0,0,0,0,5,6,0,0,0,7,4,0,0,0, ,
guess,11,0,0,0,0,9,2,0,0,0,9,0,2,0,0, ,
previous,11,0,0,0,0,9,2,0,0,0,9,2,0,0,0, ,
types,11,0,0,0,0,7,4,0,0,0,5,6,0,0,0, ,
com,10,1,0,0,0,9,1,0,0,0,5,5,0,0,0, ,
documentation,10,1,0,0,0,6,4,0,0,0,7,3,0,0,0, ,
look,10,1,0,0,0,5,5,0,0,0,5,4,1,0,0, ,
nit,10,1,0,0,0,6,4,0,0,0,7,3,0,0,0, ,
unnecessary,10,1,0,0,0,7,3,0,0,0,0,9,1,0,0, ,
{,10,0,0,0,0,9,1,0,0,0,9,1,0,0,0, ,
agree,10,0,0,0,0,7,3,0,0,0,7,2,1,0,0, ,
anything,10,0,0,0,0,4,6,0,0,0,5,4,1,0,0, ,
back,10,0,0,0,0,8,2,0,0,0,4,6,0,0,0, ,
consistent,10,0,0,0,0,5,5,0,0,0,9,0,0,1,0, ,
functions,10,0,0,0,0,9,1,0,0,0,7,3,0,0,0, ,
hm,10,0,0,0,0,6,3,1,0,0,10,0,0,0,0, ,
logic,10,0,0,0,0,8,2,0,0,0,8,2,0,0,0, ,
messages,10,0,0,0,0,7,3,0,0,0,6,4,0,0,0, ,
though,10,0,0,0,0,6,4,0,0,0,5,3,2,0,0, ,
yet,10,0,0,0,0,7,2,1,0,0,7,2,0,1,0, ,
table,10,-1,0,0,0,5,5,0,0,0,8,1,1,0,0, ,
non,9,3,0,0,0,4,4,1,0,0,6,3,0,0,0, ,
until,9,2,0,0,0,6,2,1,0,0,4,5,0,0,0, ,
cache,9,1,0,0,0,8,0,1,0,0,5,4,0,0,0, ,
most,9,1,0,0,0,4,4,1,0,0,8,1,0,0,0, ,
place,9,1,0,0,0,4,4,1,0,0,3,5,0,1,0, ,
specific,9,1,0,0,0,5,3,1,0,0,5,4,0,0,0, ,
state,9,1,0,0,0,7,2,0,0,0,4,4,0,1,0, ,
while,9,1,0,0,0,6,3,0,0,0,6,3,0,0,0, ,
anyway,9,0,0,0,0,4,5,0,0,0,3,5,1,0,0, ,
delete,9,0,0,0,0,5,4,0,0,0,6,3,0,0,0, ,
filter,9,0,0,0,0,6,3,0,0,0,6,3,0,0,0, ,
idea,9,0,0,0,0,2,7,0,0,0,6,3,0,0,0, ,
inside,9,0,0,0,0,7,2,0,0,0,3,3,2,1,0, ,
namespace,9,0,0,0,0,7,2,0,0,0,6,3,0,0,0, ,
parameter,9,0,0,0,0,8,1,0,0,0,7,2,0,0,0, ,
rest,9,0,0,0,0,7,2,0,0,0,8,0,1,0,0, ,
warning,9,0,0,0,0,7,2,0,0,0,6,2,1,0,0, ,
never,9,-1,0,0,0,4,5,0,0,0,4,3,2,0,0, ,
everything,8,2,0,0,0,5,2,1,0,0,4,3,0,1,0, ,
many,8,2,0,0,0,1,6,1,0,0,3,4,1,0,0, ,
tree,8,2,0,0,0,7,0,1,0,0,6,1,0,1,0, ,
bad,8,1,0,0,0,2,6,0,0,0,0,7,0,1,0, ,
format,8,1,0,0,0,6,1,1,0,0,6,2,0,0,0, ,
having,8,1,0,0,0,4,4,0,0,0,7,1,0,0,0, ,
quite,8,1,0,0,0,5,3,0,0,0,4,3,1,0,0, ,
similar,8,1,0,0,0,6,2,0,0,0,7,1,0,0,0, ,
very,8,1,0,0,0,4,4,0,0,0,4,2,1,1,0, ,
whitespace,8,1,0,0,0,6,2,0,0,0,5,3,0,0,0, ,
â‚¬,8,0,0,0,0,8,0,0,0,0,6,2,0,0,0, ,
again,8,0,0,0,0,7,1,0,0,0,3,3,0,2,0, ,
against,8,0,0,0,0,4,4,0,0,0,0,6,0,2,0, ,
cannot,8,0,0,0,0,5,2,1,0,0,4,3,1,0,0, ,
count,8,0,0,0,0,4,4,0,0,0,6,1,1,0,0, ,
errors,8,0,0,0,0,5,3,0,0,0,0,6,2,0,0, ,
fine,8,0,0,0,0,0,2,6,0,0,7,1,0,0,0, ,
happens,8,0,0,0,0,6,2,0,0,0,3,3,1,1,0, ,
invalid,8,0,0,0,0,5,2,1,0,0,0,6,2,0,0, ,
parameters,8,0,0,0,0,7,1,0,0,0,8,0,0,0,0, ,
question,8,0,0,0,0,6,2,0,0,0,6,1,1,0,0, ,
support,8,0,0,0,0,2,6,0,0,0,5,3,0,0,0, ,
system,8,0,0,0,0,3,5,0,0,0,6,2,0,0,0, ,
thing,8,0,0,0,0,7,1,0,0,0,7,1,0,0,0, ,
typo3,8,0,0,0,0,6,2,0,0,0,7,0,0,1,0, ,
variables,8,0,0,0,0,6,2,0,0,0,7,1,0,0,0, ,
what's,8,0,0,0,0,6,2,0,0,0,5,3,0,0,0, ,
without,8,0,0,0,0,6,1,1,0,0,5,3,0,0,0, ,
getting,8,-1,0,0,0,2,5,1,0,0,4,4,0,0,0, ,
rid,8,-1,0,0,0,4,4,0,0,0,0,8,0,0,0, ,
future,7,2,0,0,0,3,2,2,0,0,4,2,0,1,0, ,
#,7,1,0,0,0,6,1,0,0,0,3,4,0,0,0, ,
order,7,1,0,0,0,3,4,0,0,0,4,3,0,0,0, ,
private,7,1,0,0,0,4,3,0,0,0,6,1,0,0,0, ,
sentence,7,1,0,0,0,5,2,0,0,0,6,1,0,0,0, ,
actual,7,0,0,0,0,5,2,0,0,0,4,3,0,0,0, ,
checking,7,0,0,0,0,3,3,1,0,0,4,2,1,0,0, ,
clear,7,0,0,0,0,4,3,0,0,0,6,1,0,0,0, ,
condition,7,0,0,0,0,1,6,0,0,0,3,1,3,0,0, ,
const,7,0,0,0,0,6,1,0,0,0,4,3,0,0,0, ,
created,7,0,0,0,0,4,3,0,0,0,5,2,0,0,0, ,
document,7,0,0,0,0,6,1,0,0,0,2,5,0,0,0, ,
every,7,0,0,0,0,4,3,0,0,0,2,4,1,0,0, ,
exist,7,0,0,0,0,3,4,0,0,0,4,3,0,0,0, ,
existing,7,0,0,0,0,5,1,1,0,0,5,2,0,0,0, ,
exists,7,0,0,0,0,2,5,0,0,0,2,5,0,0,0, ,
few,7,0,0,0,0,1,6,0,0,0,2,4,1,0,0, ,
free,7,0,0,0,0,4,3,0,0,0,5,1,1,0,0, ,
generic,7,0,0,0,0,5,2,0,0,0,5,1,1,0,0, ,
gets,7,0,0,0,0,4,1,2,0,0,1,5,0,1,0, ,
headers,7,0,0,0,0,6,1,0,0,0,5,2,0,0,0, ,
host,7,0,0,0,0,3,4,0,0,0,2,4,1,0,0, ,
interface,7,0,0,0,0,3,3,1,0,0,5,2,0,0,0, ,
match,7,0,0,0,0,5,2,0,0,0,2,4,1,0,0, ,
note,7,0,0,0,0,6,1,0,0,0,6,1,0,0,0, ,
old,7,0,0,0,0,6,1,0,0,0,5,2,0,0,0, ,
proper,7,0,0,0,0,5,2,0,0,0,6,1,0,0,0, ,
result,7,0,0,0,0,6,0,1,0,0,3,3,1,0,0, ,
self,7,0,0,0,0,5,2,0,0,0,5,1,1,0,0, ,
service,7,0,0,0,0,3,4,0,0,0,4,3,0,0,0, ,
sounds,7,0,0,0,0,4,3,0,0,0,5,2,0,0,0, ,
str,7,0,0,0,0,4,3,0,0,0,6,1,0,0,0, ,
through,7,0,0,0,0,5,2,0,0,0,3,4,0,0,0, ,
xml,7,0,0,0,0,4,3,0,0,0,3,4,0,0,0, ,
follow,7,-1,0,0,0,2,5,0,0,0,5,1,1,0,0, ,
status,6,4,0,0,0,1,3,2,0,0,2,2,2,0,0, ,
currently,6,2,0,0,0,4,1,1,0,0,4,1,1,0,0, ,
happening,6,2,0,0,0,1,4,1,0,0,2,4,0,0,0, ,
long,6,2,0,0,0,4,0,2,0,0,5,1,0,0,0, ,
made,6,2,0,0,0,4,1,1,0,0,4,2,0,0,0, ,
build,6,1,0,0,0,5,1,0,0,0,6,0,0,0,0, ,
continue,6,1,0,0,0,4,2,0,0,0,2,3,1,0,0, ,
