Term	TermFreq >= 1	PosClassDiff (correct-estimate)	NegClassDiff	PosClassAvDiff	NegClassAvDiff	CorrectClass1pos	CorrectClass2pos	CorrectClass3pos	CorrectClass4pos	CorrectClass5pos	CorrectClass1neg	CorrectClass2neg	CorrectClass3neg	CorrectClass4neg	CorrectClass5neg	
?	463	23	34	0.049676027	0.07343412	335	110	7	11	0	299	128	29	7	0	
could	107	6	6	0.056074765	0.056074765	66	34	3	3	1	73	26	8	0	0	
do	149	17	17	0.11409396	0.11409396	92	43	10	3	1	88	48	9	4	0	
stat	5	0	4	0.0	0.8	1	2	0	2	0	2	1	2	0	0	
everything	12	2	0	0.16666667	0.0	6	4	1	0	1	7	4	0	1	0	
needs	36	2	3	0.055555556	0.083333336	26	8	0	2	0	24	10	2	0	0	
even	46	1	3	0.02173913	0.06521739	29	14	1	2	0	19	17	7	3	0	
use	221	23	12	0.1040724	0.054298643	142	63	7	7	2	151	53	14	2	1	
os	3	2	0	0.6666667	0.0	1	1	1	0	0	1	2	0	0	0	
open	13	1	0	0.07692308	0.0	9	3	0	1	0	6	6	1	0	0	
/	321	33	30	0.10280374	0.093457945	216	95	6	4	0	222	84	5	10	0	
close	10	0	2	0.0	0.2	8	2	0	0	0	8	2	0	0	0	
avoid	27	0	0	0.0	0.0	18	9	0	0	0	2	23	2	0	0	
randomaccessfile	1	0	-1	0.0	-1.0	1	0	0	0	0	1	0	0	0	0	
without	23	0	0	0.0	0.0	10	9	3	1	0	9	14	0	0	0	
overall	2	0	0	0.0	0.0	1	1	0	0	0	2	0	0	0	0	
amount	4	0	0	0.0	0.0	3	1	0	0	0	3	1	0	0	0	
code	149	15	14	0.10067114	0.093959734	93	38	6	10	2	94	47	7	1	0	
oh	7	1	2	0.14285715	0.2857143	0	3	3	0	1	6	0	1	0	0	
white	3	1	0	0.33333334	0.0	0	2	1	0	0	1	2	0	0	0	
background	2	0	0	0.0	0.0	1	0	1	0	0	2	0	0	0	0	
so	218	4	13	0.018348623	0.059633028	123	73	10	12	0	124	76	13	4	1	
didn't	25	9	12	0.36	0.48	10	12	1	2	0	9	11	4	1	0	
catch	7	0	4	0.0	0.5714286	1	1	1	3	1	3	3	0	1	0	
yellow	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
highlight	2	0	0	0.0	0.0	0	1	1	0	0	2	0	0	0	0	
thanks	22	4	3	0.18181819	0.13636364	0	16	2	4	0	16	6	0	0	0	
!	43	2	8	0.046511628	0.18604651	2	25	8	3	5	28	5	5	3	2	
this	922	67	88	0.07266811	0.09544469	579	283	29	28	3	553	282	70	16	1	
library	11	2	1	0.18181819	0.09090909	8	3	0	0	0	8	1	2	0	0	
generated	6	0	1	0.0	0.16666667	4	2	0	0	0	2	3	1	0	0	
by	104	9	15	0.086538464	0.14423077	74	21	5	4	0	63	32	9	0	0	
emugen	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
manually	2	0	0	0.0	0.0	1	1	0	0	0	2	0	0	0	0	
modified	7	0	1	0.0	0.14285715	6	1	0	0	0	3	4	0	0	0	
vi	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
transformations	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
)	342	30	32	0.0877193	0.09356725	222	95	9	15	1	199	115	21	7	0	
match	14	2	0	0.14285715	0.0	10	4	0	0	0	9	3	2	0	0	
need	170	20	12	0.11764706	0.07058824	102	52	7	8	1	112	46	12	0	0	
will	213	13	10	0.061032865	0.04694836	125	61	13	14	0	125	61	24	3	0	
replaced	5	-1	0	-0.2	0.0	3	1	1	0	0	4	0	1	0	0	
with	235	12	11	0.05106383	0.04680851	145	75	7	7	1	147	77	10	1	0	
driver	6	0	1	0.0	0.16666667	2	4	0	0	0	2	4	0	0	0	
implementation	12	3	0	0.25	0.0	8	3	0	1	0	6	4	2	0	0	
per	17	1	2	0.05882353	0.11764706	11	5	0	1	0	10	7	0	0	0	
our	19	3	5	0.15789473	0.2631579	11	5	1	2	0	8	6	3	1	1	
discussion	3	3	1	1.0	0.33333334	1	1	0	0	1	1	2	0	0	0	
make	90	11	11	0.12222222	0.12222222	59	24	3	4	0	53	30	6	1	0	
class	67	19	15	0.2835821	0.2238806	32	20	3	12	0	38	23	4	2	0	
that's	29	8	5	0.27586207	0.1724138	16	10	1	0	2	18	9	2	0	0	
combobox	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
maybe	50	2	4	0.04	0.08	34	13	2	1	0	31	16	2	1	0	
androidapicombo	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
believe	12	1	0	0.083333336	0.0	5	7	0	0	0	8	3	1	0	0	
adding	22	0	2	0.0	0.09090909	13	9	0	0	0	11	10	1	0	0	
x	6	0	0	0.0	0.0	0	6	0	0	0	5	1	0	0	0	
safety	3	0	0	0.0	0.0	0	3	0	0	0	2	1	0	0	0	
measure	2	0	0	0.0	0.0	1	1	0	0	0	2	0	0	0	0	
corner	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
cases	20	8	3	0.4	0.15	7	7	3	3	0	13	6	1	0	0	
run	21	6	4	0.2857143	0.1904762	13	4	1	3	0	10	8	3	0	0	
-	502	70	58	0.13944224	0.11553785	299	155	28	18	2	259	200	35	5	3	
test	71	15	5	0.2112676	0.07042254	46	19	2	4	0	48	17	6	0	0	
itself	12	2	0	0.16666667	0.0	6	4	0	2	0	7	4	1	0	0	
uses	17	1	1	0.05882353	0.05882353	8	7	1	0	1	11	6	0	0	0	
heavily	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
should	322	19	20	0.05900621	0.062111802	227	73	5	16	1	221	81	18	1	1	
probably	57	1	4	0.01754386	0.07017544	40	15	0	1	1	41	15	0	1	0	
consistent	18	0	2	0.0	0.11111111	9	9	0	0	0	13	3	1	1	0	
but	255	30	20	0.11764706	0.078431375	142	74	15	21	3	137	90	23	5	0	
follow	14	-1	3	-0.071428575	0.21428572	9	4	0	1	0	9	3	0	2	0	
up	54	1	2	0.018518519	0.037037037	36	16	1	1	0	37	12	3	2	0	
cl	3	1	0	0.33333334	0.0	0	2	1	0	0	2	1	0	0	0	
introduce	4	0	0	0.0	0.0	1	3	0	0	0	3	1	0	0	0	
new	58	4	7	0.06896552	0.12068965	33	20	1	2	2	40	12	5	0	1	
types	14	0	0	0.0	0.0	9	4	0	1	0	8	5	1	0	0	
unless	8	0	0	0.0	0.0	3	4	0	1	0	5	3	0	0	0	
truly	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
them	50	2	2	0.04	0.04	25	21	0	4	0	31	16	3	0	0	
;	50	4	4	0.08	0.08	33	10	3	4	0	31	17	2	0	0	
they	48	6	5	0.125	0.104166664	27	20	0	1	0	28	14	6	0	0	
supposed	6	0	1	0.0	0.16666667	5	1	0	0	0	1	4	1	0	0	
equivalence	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
classes	12	6	1	0.5	0.083333336	4	5	1	2	0	10	2	0	0	0	
more	112	7	5	0.0625	0.04464286	72	32	1	6	1	61	38	8	4	1	
define	12	3	1	0.25	0.083333336	2	7	1	2	0	5	7	0	0	0	
larger	2	0	0	0.0	0.0	0	2	0	0	0	0	2	0	0	0	
policy	5	2	2	0.4	0.4	0	3	2	0	0	1	2	2	0	0	
grow	2	0	0	0.0	0.0	1	1	0	0	0	1	1	0	0	0	
gs4	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
has	57	12	9	0.21052632	0.15789473	38	13	4	1	1	29	21	7	0	0	
significant	3	0	0	0.0	0.0	1	2	0	0	0	1	2	0	0	0	
bloat	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
due	3	0	0	0.0	0.0	1	2	0	0	0	1	1	0	1	0	
unnecessary	16	1	0	0.0625	0.0	12	4	0	0	0	0	14	2	0	0	
get	75	5	2	0.06666667	0.026666667	45	25	2	3	0	38	28	9	0	0	
_	709	35	60	0.049365304	0.084626235	507	176	9	13	4	417	213	74	5	0	
exactly	7	0	1	0.0	0.14285715	5	2	0	0	0	2	5	0	0	0	
same	93	4	5	0.043010753	0.05376344	60	28	3	2	0	56	31	6	0	0	
allow	6	0	0	0.0	0.0	2	4	0	0	0	3	2	1	0	0	
rules	7	0	0	0.0	0.0	5	2	0	0	0	2	3	1	1	0	
existing	12	0	0	0.0	0.0	10	1	1	0	0	10	2	0	0	0	
previous	21	2	1	0.0952381	0.04761905	13	6	2	0	0	15	6	0	0	0	
diff	4	0	0	0.0	0.0	4	0	0	0	0	4	0	0	0	0	
moving	3	0	0	0.0	0.0	3	0	0	0	0	3	0	0	0	0	
crop	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
state	19	3	4	0.15789473	0.21052632	13	6	0	0	0	9	8	1	1	0	
an	159	14	15	0.08805031	0.094339624	101	46	3	8	1	86	57	12	4	0	
swt	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
button	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
flag	12	3	0	0.25	0.0	7	3	1	1	0	8	3	1	0	0	
wizard	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
object	25	1	2	0.04	0.08	14	7	2	2	0	14	6	5	0	0	
yep	4	2	1	0.5	0.25	1	1	2	0	0	3	1	0	0	0	
now	64	7	6	0.109375	0.09375	41	14	4	5	0	43	11	10	0	0	
removed	45	-1	0	-0.022222223	0.0	31	10	2	2	0	31	11	3	0	0	
checker	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
c1	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
format	14	1	0	0.071428575	0.0	9	3	1	1	0	9	4	1	0	0	
pretty	7	0	0	0.0	0.0	0	0	7	0	0	5	2	0	0	0	
printer	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
once	19	0	0	0.0	0.0	12	5	1	1	0	8	10	1	0	0	
gtests	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
we've	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
got	6	1	0	0.16666667	0.0	5	1	0	0	0	4	2	0	0	0	
still	59	7	8	0.118644066	0.13559322	42	14	1	2	0	29	23	5	2	0	
field	26	1	4	0.03846154	0.15384616	20	5	0	1	0	12	11	3	0	0	
called	26	5	6	0.1923077	0.23076923	17	8	0	1	0	13	9	3	1	0	
something	45	1	2	0.022222223	0.044444446	19	26	0	0	0	24	19	2	0	0	
allocated	6	1	1	0.16666667	0.16666667	4	2	0	0	0	1	3	2	0	0	
stack	5	0	0	0.0	0.0	5	0	0	0	0	4	1	0	0	0	
size	27	3	6	0.11111111	0.22222222	12	14	0	1	0	20	3	4	0	0	
think	156	12	14	0.07692308	0.08974359	101	44	3	8	0	95	48	11	2	0	
cleanest	1	1	1	1.0	1.0	0	1	0	0	0	0	1	0	0	0	
style	63	2	5	0.031746034	0.07936508	51	12	0	0	0	49	12	2	0	0	
here	253	13	22	0.0513834	0.08695652	164	74	7	8	0	156	75	17	5	0	
:	368	92	83	0.25	0.22554348	221	109	15	22	1	213	135	16	4	0	
linker	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
m	17	0	2	0.0	0.11764706	10	7	0	0	0	10	6	1	0	0	
into	53	2	5	0.03773585	0.094339624	39	12	1	1	0	37	13	2	1	0	
it'd	4	0	0	0.0	0.0	1	3	0	0	0	3	1	0	0	0	
nice	10	0	0	0.0	0.0	0	9	1	0	0	5	5	0	0	0	
debugger	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
inner	2	0	0	0.0	0.0	1	1	0	0	0	2	0	0	0	0	
files	23	-1	2	-0.04347826	0.08695652	17	5	0	1	0	12	10	0	1	0	
question	13	0	0	0.0	0.0	11	2	0	0	0	10	2	1	0	0	
does	80	5	8	0.0625	0.1	48	26	0	6	0	44	28	8	0	0	
ant	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
path	39	1	1	0.025641026	0.025641026	29	6	0	4	0	24	15	0	0	0	
separator	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
on	188	15	17	0.07978723	0.09042553	117	61	6	4	0	98	70	15	4	1	
all	126	16	17	0.12698413	0.13492064	85	34	1	5	1	68	43	9	5	1	
platforms	5	0	0	0.0	0.0	5	0	0	0	0	1	2	2	0	0	
pathseparator	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
windows	10	3	1	0.3	0.1	5	5	0	0	0	6	4	0	0	0	
indent	22	0	2	0.0	0.09090909	22	0	0	0	0	17	4	1	0	0	
line	132	8	15	0.060606062	0.11363637	101	23	3	5	0	73	48	9	2	0	
150	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
149	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
guess	26	1	2	0.03846154	0.07692308	18	7	0	1	0	21	3	2	0	0	
expected	12	2	0	0.16666667	0.0	7	5	0	0	0	8	4	0	0	0	
pattern	18	0	0	0.0	0.0	16	2	0	0	0	2	16	0	0	0	
foo	7	-1	2	-0.14285715	0.2857143	4	3	0	0	0	2	5	0	0	0	
bar	5	1	0	0.2	0.0	1	4	0	0	0	2	2	1	0	0	
jetbrains	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
repeats	3	0	0	0.0	0.0	3	0	0	0	0	3	0	0	0	0	
their	13	1	0	0.07692308	0.0	8	5	0	0	0	10	2	1	0	0	
bundles	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
point	44	8	7	0.18181819	0.1590909	19	16	3	6	0	25	13	6	0	0	
fact	11	0	0	0.0	0.0	8	2	0	1	0	6	5	0	0	0	
wait	11	8	1	0.72727275	0.09090909	4	4	3	0	0	4	6	1	0	0	
feature	11	0	1	0.0	0.09090909	8	1	0	2	0	5	6	0	0	0	
find	22	3	7	0.13636364	0.3181818	12	8	0	2	0	9	9	2	2	0	
workable	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
python	7	1	3	0.14285715	0.42857143	4	3	0	0	0	2	4	0	1	0	
nowait	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
argument	16	0	0	0.0	0.0	9	5	2	0	0	0	15	1	0	0	
disables	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
reverting	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
back	18	0	4	0.0	0.22222222	16	2	0	0	0	7	8	3	0	0	
prior	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
behavior	8	0	0	0.0	0.0	5	3	0	0	0	1	6	1	0	0	
either	16	3	0	0.1875	0.0	11	3	1	0	1	9	6	1	0	0	
these	95	5	6	0.05263158	0.06315789	66	20	0	9	0	57	32	5	1	0	
brackets	5	2	0	0.4	0.0	3	2	0	0	0	5	0	0	0	0	
above	63	2	2	0.031746034	0.031746034	50	12	0	1	0	45	15	2	1	0	
where	55	2	5	0.036363635	0.09090909	38	12	2	3	0	34	18	3	0	0	
type	41	2	4	0.048780486	0.09756097	27	14	0	0	0	27	14	0	0	0	
echo	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
&	19	0	1	0.0	0.05263158	8	6	4	1	0	11	7	1	0	0	
{	15	3	0	0.2	0.0	11	3	1	0	0	12	2	1	0	0	
two	37	6	2	0.16216215	0.054054055	25	10	2	0	0	22	13	2	0	0	
added	30	3	2	0.1	0.06666667	22	5	1	2	0	19	9	1	1	0	
tests	26	5	2	0.1923077	0.07692308	16	8	0	2	0	18	6	2	0	0	
other	88	7	4	0.07954545	0.045454547	50	32	3	3	0	57	27	4	0	0	
resource	7	1	2	0.14285715	0.2857143	6	1	0	0	0	2	5	0	0	0	
feel	7	0	0	0.0	0.0	3	3	0	1	0	6	1	0	0	0	
there	131	14	11	0.10687023	0.08396947	71	42	4	14	0	65	51	13	2	0	
ensure	10	0	0	0.0	0.0	6	3	0	1	0	4	3	2	1	0	
issue	20	2	4	0.1	0.2	10	9	0	1	0	7	9	4	0	0	
resolved	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
xml	9	1	1	0.11111111	0.11111111	4	4	1	0	0	3	5	1	0	0	
at	94	13	4	0.13829787	0.04255319	54	32	4	3	1	56	22	16	0	0	
least	13	1	0	0.07692308	0.0	7	4	1	1	0	10	1	2	0	0	
apt	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
doing	32	4	4	0.125	0.125	16	11	3	2	0	15	12	5	0	0	
trigger	6	0	0	0.0	0.0	5	1	0	0	0	1	3	2	0	0	
mondatechangedlistener	1	0	0	0.0	0.0	0	1	0	0	0	0	0	1	0	0	
fired	1	0	0	0.0	0.0	0	1	0	0	0	0	0	1	0	0	
twice	6	2	0	0.33333334	0.0	3	2	1	0	0	3	2	1	0	0	
please	93	1	3	0.010752688	0.032258064	0	90	3	0	0	69	15	8	1	0	
put	49	1	3	0.020408163	0.06122449	29	17	0	3	0	28	17	3	1	0	
guard	5	0	0	0.0	0.0	4	1	0	0	0	3	1	1	0	0	
see	90	7	12	0.07777778	0.13333334	58	24	3	5	0	46	32	7	5	0	
listener	2	0	0	0.0	0.0	1	1	0	0	0	0	1	1	0	0	
mdaypicker	1	0	0	0.0	0.0	0	1	0	0	0	0	0	1	0	0	
2008	1	2	0	2.0	0.0	0	0	1	0	0	1	0	0	0	0	
11	5	4	0	0.8	0.0	2	1	2	0	0	5	0	0	0	0	
10	9	3	0	0.33333334	0.0	5	3	1	0	0	5	4	0	0	0	
23	2	2	1	1.0	0.5	1	0	1	0	0	1	1	0	0	0	
37	1	2	0	2.0	0.0	0	0	1	0	0	1	0	0	0	0	
david	1	2	0	2.0	0.0	0	0	1	0	0	1	0	0	0	0	
turner	1	2	0	2.0	0.0	0	0	1	0	0	1	0	0	0	0	
wrote	4	2	0	0.5	0.0	3	0	1	0	0	2	1	1	0	0	
>	31	6	7	0.19354838	0.22580644	21	6	1	3	0	20	7	4	0	0	
hm	15	0	0	0.0	0.0	10	4	1	0	0	13	2	0	0	0	
bit	29	6	3	0.20689656	0.10344828	19	7	2	0	1	12	15	2	0	0	
