id,proj_comment_id,request_id,in_reply_to,patchset_id,file_name,line_number,author_id,written_on,message,project_url,asbosu,toufique,jake,final_rating,consensus,neutral_without_consensus
11,AAAGsH%2F%2F%2F%2Fw%3D,38160,NULL,1,eclipse/plugins/com.android.ide.eclipse.adt/src/com/android/ide/eclipse/adt/internal/assetstudio/CreateAssetSetWizardState.java,73,1004689,6/18/2012 15:44,similar to previous diff; this is just moving the crop state from an SWT Button state to a flag in the wizard state object,https://android-review.googlesource.com/,0,0,0,0,1,Inc
12,2451caa8_dc3f0ddc,117349,e4fdf273_d27e2402,10,compiler/optimizing/pretty_printer.h,29,1059815,12/12/2014 17:32,"Yep, this is now removed and Checker uses the c1 format. The pretty printer could be removed once the existing gtests are replaced.",https://android-review.googlesource.com/,1,0,0,0,0,Ex
13,a153ecfb_13a04e2e,120844,NULL,3,libc/bionic/pthread_create.cpp,165,1003224,12/23/2014 23:43,"if we've got this, do we still need the flag?

this field should probably be called something more like ""allocated_stack_size"".",https://android-review.googlesource.com/,0,0,0,0,1,Inc
14,ff99fd83_679dd06f,116477,NULL,2,runtime/debugger.cc,3293,1010118,12/1/2014 22:47,"I think the cleanest style here would be to make this:
class_linker->IsCompiledImageMethod(m)
and then embed MayBe... into ClassLinker as IsCompiledImageMethod. It'd be nice to avoid exposing the debugger to inner notions of oat files.",https://android-review.googlesource.com/,0,1,1,1,0,Inc
15,AAABCH%2F%2F%2FjI%3D,23616,NULL,1,eclipse/plugins/com.android.ide.eclipse.adt/src/com/android/ide/eclipse/adt/internal/build/builders/PreCompilerBuilder.java,626,1004689,6/9/2011 23:24,"Just a question: Does ant use ; as a path separator on all platforms, or should you use File.pathSeparator (which will be : on Windows) ?",https://android-review.googlesource.com/,0,0,0,0,1,Inc
16,10ca3fde_c99c3559,108832,10ca3fde_498fa569,1,compiler/optimizing/graph_checker.cc,151,1052644,9/24/2014 17:41,"Should I still indent one more if I move line 150 to line 149?  I guess the expected pattern is:

  foo
    ? bar
    : baz;",https://android-review.googlesource.com/,0,0,-1,0,0,Ex
17,50abd856_8ec21fbb,109570,NULL,1,src/com/google/gct/idea/util/GctBundle.java,35,1048978,10/2/2014 15:47,I wonder why jetbrains repeats this code in all their bundles.,https://android-review.googlesource.com/,0,-1,-1,-1,0,Inc
18,1d879d2a_a30ed67c,59955,NULL,1,ndk-gdb.py,81,1014705,6/5/2013 4:25,"Point-of-fact: it was the wait feature that you now find workable from Python... The '--nowait' argument disables that new feature, reverting back to prior behavior.",https://android-review.googlesource.com/,0,0,0,0,1,Inc
19,AAAIyH%2F%2F%2F%2BQ%3D,34490,NULL,11,translate.c,181,1000835,8/21/2012 11:16,"Either you don't need these brackets, or you need brackets above where you do:

if(icmp->type != ICMP_ECHO && icmp->type != ICMP_ECHOREPLY) {

Can you make the two consistent?",https://android-review.googlesource.com/,-1,0,-1,-1,0,Inc
20,37110c43_3a290108,137340,12da56a9_ace58b27,6,build-system/integration-test/src/test/groovy/com/android/build/gradle/integration/application/ResValueStringTest.groovy,103,1044651,3/5/2015 2:28,"Added tests for other resource type.

I feel there should be a test that ensure the issue in the bug is resolved.  It also verifies that the generated.xml can at least run through aapt.",https://android-review.googlesource.com/,0,0,0,0,1,Inc
21,AAAASH%2F%2F%2F%2FM%3D,9917,NULL,1,core/java/android/widget/DatePicker.java,139,1001146,5/15/2009 22:14,Doing this will trigger mOnDateChangedListener to be fired twice. Please put a guard to avoid that (see the listener above on mDayPicker.),https://android-review.googlesource.com/,0,0,-1,0,0,Ex
22,z0ae3ad385d36dd927497dd9d9645d11f,2417,NULL,1,tools/findleaves.sh,19,1001302,12/3/2008 16:11,"On 2008/11/11 10:23:37, David Turner wrote:
> hmm, this is a bit hard to understand. May I suggest you to replace it with the
> following:
> """"""
> XXX: the !/bin/bash invocation on the first line has been
>      commented out because it doesn't work on FreeBSD
>      (which uses /usr/local/bin/bash, instead of /bin/bash)
> 
>      note that, with this comment, this script is invoked
>      with the right bash shell from build/core/main.mk
> """"""
> 

Well, your version is more easy to understand. I'll replace comment in ammended commit.",https://android-review.googlesource.com/,1,1,1,1,1,Inc
23,AAAI9n%2F%2F%2BWk%3D,42693,AAAI9n%2F%2F%2BXY%3D,1,lint/cli/src/com/android/tools/lint/LombokParser.java,66,1004689,9/10/2012 20:55,"Yes, I uncommented the code for diagnostics and discovered that it depended on an import of IssueRegistry. So I just added it as a FQN here so I won't need to reimport it next time I uncomment this block.",https://android-review.googlesource.com/,1,0,0,0,0,Ex
24,3f70f517_2a50fb50,117080,NULL,2,test/435-try-finally-without-catch/info.txt,3,1038443,12/2/2014 18:21,"Also explain in this file why the compiler was failing, and dx's smart/dumb behavior.",https://android-review.googlesource.com/,0,-1,-1,-1,0,Inc
25,AAAErH%2F%2F%2F%2Fg%3D,34641,AAAEsn%2F%2F%2F%2Fo%3D,4,libstdc++/src/one_time_construction.cpp,37,1011068,4/12/2012 9:41,"We tried to avoid include the large block in #if ... #else... #endif. :).

And does this change break MIPS? Our change will not impact MIPS.",https://android-review.googlesource.com/,1,1,0,1,0,Inc
26,0ad591ff_66ba2aab,61091,0ad591ff_86a80e6b,3,android/src/com/android/tools/idea/run/AndroidLaunchUtils.java,24,1010055,6/19/2013 18:57,"This class should be for launch specific utilities, but I agree with you, it makes sense to consolidate until it becomes unwieldy.",https://android-review.googlesource.com/,1,1,1,1,1,Inc
27,AAAA%2B3%2F%2F59s%3D,20959,AAAA%2B3%2F%2F6A8%3D,1,sdkmanager/libs/sdklib/src/com/android/sdklib/SdkConstants.java,231,1001414,2/4/2011 19:30,Actually this is tricky to use an enum because this is going to be mostly dynamic based on the content of the images folder.,https://android-review.googlesource.com/,0,0,0,0,1,Inc
28,dffef0bb_5333067c,96562,NULL,4,libcutils/ashmem-host.c,42,1003224,6/3/2014 18:41,"i think you really want a pthread_once_t here instead, unless i'm misunderstanding what you're trying to do.",https://android-review.googlesource.com/,0,0,0,0,1,Inc
29,ff82dd17_13a0d687,117110,NULL,2,support/src/test/java/tests/util/ForEachRunnable.java,38,1014443,12/3/2014 9:54,"who uses this method ? I don't see why this is useful. I'd just get rid of this method and the associated field.

Once you do that, you can just collapse this class into a single static method (runAll) and get rid of the Pair class.",https://android-review.googlesource.com/,-1,-1,-1,-1,1,Inc
30,1fd5e878_cd427d21,97233,1f8a489d_216a45f7,1,runtime/profiler.cc,376,1022077,6/12/2014 9:52,"Thanks Ian, I was not aware of this. Created b/15574371.",https://android-review.googlesource.com/,1,0,1,1,0,Inc
31,618d7444_aee957ba,120048,41731024_45f36aaf,2,compiler/optimizing/inliner.cc,152,1052644,12/18/2014 11:23,"Right, but a single block can still contain many instructions.  And short/simple methods may nevertheless be called often.  So this code could be run over and over gratuitously.

Actually, it may be even more interesting to cache the larger information ""can (should?) this method be inlined?"" (at least, the bits that only depend on the callee, not the caller).",https://android-review.googlesource.com/,0,0,1,0,0,Ex
32,ff5e5d2a_cacc6345,115695,9f448158_6f1eb188,2,compiler/utils/assembler_test.h,41,1041833,11/21/2014 8:51,I prefer the increased type safety of enum classes.,https://android-review.googlesource.com/,0,0,0,0,1,Inc
33,48525a24_094e0d80,123156,48fb3a34_beee19b7,17,compiler/dex/quick/quick_compiler.cc,548,1015378,2/19/2015 18:42,"I disabled these with 
pass_manager_options->SetDisablePassList(""GVN,DCE"") in jit_compiler.cc, there wasn't an option for kLocalValueNumbering.",https://android-review.googlesource.com/,0,0,0,0,1,Inc
34,9e08f1da_0baf42ad,69966,5e64b999_79d92844,6,android/src/com/android/tools/idea/structure/AndroidHomeConfigurable.java,228,1010055,11/20/2013 16:50,"In which case, shouldn't the code just say that all other open projects should already have their SDK's pointing to the SDK used by the IDE?

i.e., now that we do this, we shouldn't have to modify other projects, only this project since all others should already be in sync.

The fishy part here is just that choosing something in a project import dialog affects other projects which doesn't make sense. If you want that experience, then the dialog should be more of a global IDE preference.",https://android-review.googlesource.com/,-1,-1,-1,-1,1,Inc
35,N5sVEUEw,46992,N5qKXOvg,1,adb/adb.c,937,1000411,1/8/2013 18:00,"Yes, it is a bug in adb, no ambiguity here, but it's really subtle, so it'd be nice to have a better description of the problem, it's not really Python specific as you mention, i.e. something like:

""""""
Some programs want to launch an adb command and collect its output by calling CreateProcess with inheritable stdout/stderr handles, then using read() to get its output. When this happens, the stdout/stderr handles passed to the adb client process will also be inheritable.

When starting the adb server here, care must be taken to reset them to non-inheritable.

Otherwise, something bad happens: even if the adb command completes, the calling process is stuck while read()-ing from the stdout/stderr descriptors, because they're connected to corresponding handles in the adb server process (even if the latter never uses/writes to them).
""""""

The PROC_THREAD_ATTRIBUTE_HANDLE_LIST isn't directly related to the problem, and not needed in this specific case because I don't think there are multiple threads being used in the adb client process (at least when reaching this code). It's probably better to avoid mentioning it, or add a note like ""ideally, use PROC_THREAD_ATTRIBUTE_HANDLE_LIST if running on Vista or higher""",https://android-review.googlesource.com/,1,1,-1,1,0,Inc
36,d080bec6_70af7096,143400,d080bec6_6577b003,2,include/system/window.h,937,1043845,4/15/2015 19:50,"> Can we have 32-bit processes calling into a 64-bit BufferQueue or vice-versa?

The 32-bit process would be calling in to a different BufferQueue, right?",https://android-review.googlesource.com/,0,0,0,0,1,Inc
37,0b4cdc89_67380cfd,131650,NULL,1,compiler/optimizing/nodes.h,897,1038443,2/13/2015 16:05,Please document these. is_precise is we know the exact type? Would 'exact' be clearer?,https://android-review.googlesource.com/,0,0,0,0,1,Inc
38,3f147587_241db2d2,116621,NULL,2,jack/src/com/android/jack/library/FileType.java,117,1015381,11/27/2014 21:24,"Not related, but may be better to move to constructPorperty(String suffix) or something like that.",https://android-review.googlesource.com/,0,0,0,0,1,Inc
39,a4ca118f_e7748aab,99276,NULL,2,compiler/dex/quick/mips/int_mips.cc,490,1001578,6/25/2014 22:40,"Let's avoid having commented out code.  Delete the DCHECK (which looks wrong to me anyway - you certainly could have a const index, but backends are under no obligation to take advantage of that information.",https://android-review.googlesource.com/,0,-1,-1,-1,0,Inc
40,d84ef881_e59f56f7,63081,NULL,3,sepolicy/file_contexts,24,1013157,8/6/2013 11:25,we have audio_data_file and so this can be changed to that.,https://android-review.googlesource.com/,0,0,0,0,1,Inc
41,AAAFxX%2F%2F%2F%2Bc%3D,36011,NULL,1,services/java/com/android/server/usb/UsbSettingsManager.java,146,1004957,5/24/2012 16:53,We don't need this line any more. Or we could keep this here and use it instead of calling parseInt in the five instances below.,https://android-review.googlesource.com/,0,0,0,0,1,Inc
42,AAAA33%2F%2F%2FZw%3D,15594,NULL,5,src/com/android/phone/BluetoothHandsfree.java,1191,1000635,8/4/2010 3:07,"call the function, pass the device also into the function",https://android-review.googlesource.com/,0,0,0,0,1,Inc
43,8d1e2d58_0a502460,149557,4d36f5df_d53f6e84,2,android/guiTestSrc/com/android/tools/idea/tests/gui/framework/fixture/FileFixture.java,157,1019910,5/6/2015 19:50,"Anything that needs to run in the UI thread needs to be wrapped this way, otherwise the IDE complains. It is in the UI testing doc I sent you: https://docs.google.com/a/google.com/document/d/1UBVjIEYXoNVZeYT1NKjqPhCYSkU-X2lWVCrFHbXnPnM/edit?usp=sharing",https://android-review.googlesource.com/,0,0,0,0,1,Inc
44,ff6c9df2_1d72d7d5,115991,NULL,1,libc/arch-common/bionic/pthread_atfork.h,33,1003224,11/22/2014 0:53,i don't think this is ever defined on Android. it's a BSD thing.,https://android-review.googlesource.com/,-1,-1,-1,-1,1,Inc
45,c13aa0c4_f1a968ea,114532,NULL,1,dx/src/com/android/dx/command/dexer/Main.java,1968,1015613,12/16/2014 15:22,Maybe pick a different name to avoid a collision with the field of the same name in Main?,https://android-review.googlesource.com/,0,0,0,0,1,Inc
46,2362b2ee_37a0fa9d,143849,NULL,1,adb/services.cpp,183,1043845,3/25/2015 22:23,Could you factor the whole function out into reboot_service_impl so we don't need to gotos?,https://android-review.googlesource.com/,0,0,0,0,1,Inc
47,c488eee4_169f0a3e,118283,NULL,1,adb/commandline.c,1723,1003224,12/8/2014 22:01,a table of function pointers sounds good right about now...,https://android-review.googlesource.com/,1,1,0,1,0,Inc
48,AAAA%2Fn%2F%2F%2FLc%3D,22202,AAAA%2Fn%2F%2F%2FLs%3D,2,eclipse/plugins/com.android.ide.eclipse.adt/src/com/android/ide/eclipse/adt/internal/wizards/newproject/NewProjectCreationPage.java,1237,1001100,4/8/2011 19:58,"You're right. The issue is that the onSampleSelected() callback uses the Combo index to fetch the sample from mSamplePath, so the way you have it they don't match (if you try, selecting a sample will load a different one). The trivial solution is to sort mSamplePaths alphabetically like it should have been done in the first place anyway (my fault for forgetting that).",https://android-review.googlesource.com/,1,0,1,1,0,Inc
49,AAAA%2FX%2F%2F%2BgY%3D,19337,AAAA%2FX%2F%2F%2Bqw%3D,14,libs/utils/AssetManager.cpp,200,1005768,3/28/2011 14:47,"Changed from heap to stack based allocation, will now only allocate enough to hold idmap header.",https://android-review.googlesource.com/,0,0,0,0,1,Inc
50,AAAA%2B3%2F%2F6J0%3D,20892,AAAA%2B3%2F%2F6LA%3D,4,src/com/cooliris/media/GridInputProcessor.java,821,1005592,2/4/2011 0:58,"performTransaltion has different purpose. If scale is less than equal to 1 we will not perform transaltion. _x000D_
If the device doesn't support multi touch we need not go into this block and skip the execution of the next six lines, hence it was added here.",https://android-review.googlesource.com/,0,0,0,0,1,Inc
51,614734ed_be8d5914,120503,NULL,1,cc/src/gfxspy/gltrace_eglapi.cpp,26,1060558,12/19/2014 12:16,Please use double quotes for EGL/egldefs.h and log/log.h. These headers are now local. Same comment for other files including them.,https://android-review.googlesource.com/,0,0,0,0,1,Inc
52,cd24a5a6_2b42c9fe,149477,6d19f971_32759978,1,target/product/embedded.mk,78,1003981,5/6/2015 17:15,"OH, I forgot your that CL :-)
However STLPORT_WHITELIST isn't defined yet at this point.
In config.mk it loads envsetup.mk (which eventually loads the product makefiles) before it defines STLPORT_WHITELIST.
On the other hand, we can remove libstlport from this file, and add it to specific device's makefile, such as device/asus/flo/device-common.mk. I'd really like to keep the device names out of the build project.",https://android-review.googlesource.com/,1,1,0,1,0,Inc
53,16431782_4f4b92e9,103178,NULL,7,android/src/com/android/tools/idea/editors/strings/StringResourceEditor.java,160,1010055,8/6/2014 18:55,maybe this runnable needs to run after the previous one's onSuccess?,https://android-review.googlesource.com/,0,0,0,0,1,Inc
54,Rf3cDuMw,49339,RiPpkKfw,6,src/java/com/android/internal/telephony/RIL.java,159,1002609,3/12/2013 18:24,"We would prefer to keep this.  It is possible for the RILD and radio code to pass the sequence number through into radio state as the request is being acted on - the RILD may notice the socket error and re-establish the connection and then the response comes back from the radio with the old sequence number and get's passed back through the newly-connected RILD.

Just because your implementation may not do this, we can imagine other OEMs passing back obsolete responses that would match a newly-zero'd RIL sequence number and confuse things.

Couldn't you just remember the first sequence number your RILD connection received?  Then you know the number of requests you've received.",https://android-review.googlesource.com/,0,-1,-1,-1,0,Inc
55,a4f851d3_8934bd00,98904,NULL,5,runtime/arch/arm64/quick_entrypoints_arm64.S,1853,1030338,6/26/2014 20:42,"My only worry here is that future c or assembly versions of memcmp16 might use x14, x15. I have used a more conservative approach in my tree:


1852 .Ldo_memcmp16:
1853     /* save lr, and return value if comparison equal */
1854     stp x0, x30, [sp, #-16]!
1855 
1856     /* set-up args for __memcmp16 */
1857     mov x0, x2
1858     uxtw x2, w3
1859 
1860     bl __memcmp16
1861 
1862     /* restore lr, and return value if comparison equal */
1863     ldp x1, x30, [sp], #16
1864 
1865     /* if the strings are equal (i.e. x0 == 0) then return length comparison */
1866     cmp x0, #0
1867     csel x0, x1, x0, eq
1868 
1869     ret
1870 END art_quick_string_compareto",https://android-review.googlesource.com/,0,0,0,0,1,Inc
56,d0bfc88a_6b347084,110105,NULL,2,jack/src/com/android/jack/backend/dex/TypeDexProduct.java,23,1015613,10/8/2014 13:03,"nit: I would say ""a dex file"" because we're not talking about the DexFile type here.",https://android-review.googlesource.com/,0,0,-1,0,0,Ex
57,6bb9d8a9_47672e0b,131760,abbf508b_effab5c7,1,include/hardware/hwcomposer.h,317,1043625,2/13/2015 21:06,"Actually, I realized late last night that it probably didn't make sense to specify the damage using frects, since the damage is defined on pixel boundaries (I was originally thinking frect because sourceCrop is a frect, but that's not exactly analagous).

I think this should be hwc_rect_t. That probably implies that we should use hwc_region_t, except that size_t is way overkill and will eat another 8 bytes in 64-bit relative to this (since we're currently getting the uint32_t for free because of padding).",https://android-review.googlesource.com/,0,0,0,0,1,Inc
58,Qo3Nk6FU,52673,Qo5N6zPs,1,lint/libs/lint_checks/src/main/java/com/android/tools/lint/checks/TextViewDetector.java,119,1004689,3/4/2013 23:19,"That's just the thing; I don't have a bug report. Somebody complained on Google+ that setting this attribute has the undesirable side effect of killing onClick attributes; when I asked Roman if he knew anything about this (we had discussed textIsSelectable before, in the context of adding them to the default templates) he mentioned he had also seen some weirdness around these, but didn't have details.

I should dig deeper, but since I'm swamped with some other work I figured it was better to just disable this check until I know more. (It's actively suggesting users set an attribute that apparently isn't always the right thing.)",https://android-review.googlesource.com/,0,0,0,0,1,Inc
59,66de785c_4edc93e7,141444,269ba08e_c412b08e,3,runtime/interpreter/interpreter.cc,404,1043514,3/18/2015 23:49,"It seems to me to be the case. There is a bug:
https://b.corp.google.com/issues/17586779
shertz probably knows more about it.",https://android-review.googlesource.com/,0,0,0,0,1,Inc
60,AAAA0X%2F%2F%2F6k%3D,15305,NULL,1,telephony/java/com/android/internal/telephony/IccUtils.java,173,1000660,6/18/2010 19:38,"Technically missing spaces before/after the parentheses. Would be good to fix in a future upload, if there's a chance. See also the while() a few lines below.",https://android-review.googlesource.com/,0,1,0,0,0,Ex
61,90a8f091_75ce603e,110132,90a8f091_f55c103c,3,android/src/com/android/tools/idea/welcome/DownloadOperation.java,53,1042744,10/8/2014 18:55,No. The exception is needed so it is rethrown if the user decides to cancel. User can only see exception stack trace in the log.,https://android-review.googlesource.com/,-1,0,-1,-1,0,Inc
62,AAAAyn%2F%2F%2Fr8%3D,13954,NULL,2,cmds/screenshot/Android.mk,13,1000660,5/11/2010 23:29,"If this is considered a development tool and not a production tool, it should have LOCAL_MODULE_TAGS := eng",https://android-review.googlesource.com/,0,0,0,0,1,Inc
63,3cd2d1e7_32ba70d5,138881,NULL,3,src/devices/tech/security/ota/index.jd,416,1022179,3/10/2015 1:07,Please place functions in <code></code> tags throughout.,https://android-review.googlesource.com/,0,0,0,0,1,Inc
64,a8973b5d_c8abe3a2,71990,NULL,5,core/dex_preopt.mk,117,1003981,12/14/2013 0:45,Why do need $(installed_odex) even if LOCAL_DEX_PREOPT is unset?,https://android-review.googlesource.com/,0,0,-1,0,0,Ex
65,4b78946f_f6e82002,131650,NULL,8,compiler/optimizing/reference_type_propagation.cc,107,1038443,2/18/2015 22:15,I don't understand why you need the boolean. This should be new_rti.SetTop(); new_rti.SetInexact().,https://android-review.googlesource.com/,-1,-1,-1,-1,1,Inc
66,b64deb11_4f4edd4c,103242,NULL,1,android/src/com/android/tools/idea/gradle/parser/Repository.java,168,1010055,8/12/2014 23:33,maybe update this comment to give an example of the unparseable credentials.,https://android-review.googlesource.com/,0,0,0,0,1,Inc
67,309904fa_2255ea47,109033,3072e491_69b18d55,7,runtime/entrypoints/quick/quick_trampoline_entrypoints.cc,427,1042649,10/21/2014 2:17,"This depends on how we define the ABI. For function prototype like ""void foo(float a, double b, float c);"".

Now the argument registers would be ""a(s0), b(s2/s3=d1), c(s1)"".

We could remove this unless we define ABI to use argument registers like ""a(s0), b(s2/s3=d1), c(s4)""",https://android-review.googlesource.com/,0,0,0,0,1,Inc
68,AAAAyn%2F%2F%2FvY%3D,13491,AAAAyn%2F%2F%2F10%3D,2,telephony/java/com/android/internal/telephony/IccProvider.java,276,1003544,5/11/2010 22:00,"Yes, according to 3GPP TS 31.102, the alpha identifier is optional for ADN and SDN as well as FDN.",https://android-review.googlesource.com/,1,0,0,0,0,Ex
69,1fbfa8df_31bac059,96501,NULL,1,libc/bionic/new.cpp,28,1003224,5/31/2014 0:04,"that's always going to say ""Out of memory"", which is definitely an improvement, but how about something like:

  ""new failed to allocate %zu bytes"", size
  ""new[] failed to allocate %zu bytes"", size",https://android-review.googlesource.com/,0,1,0,0,0,Ex
70,AAAEyn%2F%2F%2F%2Fg%3D,35304,NULL,1,services/java/com/android/server/DevicePolicyManagerService.java,1668,1004017,4/19/2012 1:49,"These calls don't do the same thing.  As a result, lockNow() must be called unconditionally.",https://android-review.googlesource.com/,-1,0,-1,-1,0,Inc
71,AAAKbn%2F%2F%2F6U%3D,39601,AAAKdn%2F%2F%2FpM%3D,6,core/java/android/content/pm/ApplicationInfo.java,394,1013887,10/17/2012 23:36,Roger that. I'll look into using PackageParser.Package and change the necessary code.,https://android-review.googlesource.com/,1,0,0,0,0,Ex
72,a1dbec04_9038f4be,119763,e1ba449b_730d52dc,1,.idea/misc.xml,38,1055888,12/16/2014 22:31,"Damn it, that wasn't supposed to be there. I'll remove it.",https://android-review.googlesource.com/,-1,-1,-1,-1,1,Inc
73,844276da_bfd9d78b,119069,NULL,1,build-system/integration-test/src/test/groovy/com/android/build/gradle/integration/common/utils/ModelHelper.java,279,1057413,12/12/2014 16:18,"If we converted helper code to Groovy, we would have the Elvis operator. And closures to handle the try+finally+close idiom. Just sayin' ;)",https://android-review.googlesource.com/,1,1,0,1,0,Inc
74,532cc17a_684ef850,106310,734e2558_4b56998e,1,original/uapi/asm-arm/asm/unistd.h,413,1019050,9/3/2014 1:35,"Unfortunately, I originally grabbed the 3.17 headers. The 3.16.1 headers don't include getrandom.",https://android-review.googlesource.com/,-1,0,0,0,0,Ex
75,AAAA33%2F%2F%2FT4%3D,15952,NULL,2,core/java/android/hardware/SensorManager.java,1646,1001056,8/4/2010 22:31,"get rid of temporary memory allocation, okay to inline the code for getQuaternionFromVector here.",https://android-review.googlesource.com/,0,0,-1,0,0,Ex
76,f0fe8bbb_cb7bc93c,107435,90c0ef69_24227bc6,7,find_java2/src/WinLauncher2App.cpp,58,1000411,9/17/2014 15:55,"I think he's looking for the exact string ""h"", the 2 is to count the terminating 0 at the end.",https://android-review.googlesource.com/,0,0,0,0,1,Inc
77,b0d42a38_c65f24bf,148588,NULL,1,api/rs_object_info.spec,281,1010056,4/28/2015 22:54,"Element. This one stuck out. I think the only ones to try to capitalize are ""Allocation, Type, Element"", since that trio is the dominant set of APIs for interacting with any sort of data from Java.",https://android-review.googlesource.com/,0,0,0,0,1,Inc
78,83c43ed3_cbb9c611,146004,03868e96_a72ca93f,1,runtime/indirect_reference_table.cc,84,1015378,4/9/2015 0:40,How about making MapAnonymous return null so that we only need the single check that table_mem_map_.get() != nullptr.,https://android-review.googlesource.com/,0,0,0,0,1,Inc
79,4ba1740b_8e9a3b57,129451,5c5e9cd0_46da5272,3,compiler/optimizing/nodes.cc,483,1059815,2/18/2015 18:35,"ditto. Never observed, not found anywhere => removed. DCHECK inside HUseListNode::Remove will fail if this occurs.",https://android-review.googlesource.com/,0,0,1,0,0,Ex
80,302afabf_01e4d5a7,147736,NULL,2,android/guiTestSrc/com/android/tools/idea/tests/gui/framework/GuiTests.java,105,1019910,4/21/2015 21:36,"Just call Assert.fail

(Extra credit for static import)",https://android-review.googlesource.com/,0,1,0,0,0,Ex
81,a3ece2ce_d0358257,144484,NULL,2,binary/generate/generate.go,108,1056885,3/31/2015 14:35,"If this need to be public, can we have a short doc comment?",https://android-review.googlesource.com/,0,0,0,0,1,Inc
82,AAAAZX%2F%2F%2F%2F0%3D,10461,NULL,3,net/ipv4/af_inet.c,269,1001923,6/19/2009 4:00,"Hmm, I take it back.
in_egroup_p(AID_NET_RAW) only checks the groups,
but capable(CAP_NET_RAW) also checks the real capability.",https://android-review.googlesource.com/,1,0,0,0,0,Ex
83,cd24a5a6_ffb5b3bf,148495,b0218a87_7a1ddd8e,8,asset-studio/src/main/java/com/android/assetstudiolib/GraphicGenerator.java,246,1055888,5/5/2015 23:54,"That's not what I was saying. Just like
public static float getMdpiScaleFactor(Density density) {
 if (density == Density.ANYDPI) {
   density = Density.XXHIGH.getDpiValue();
 }
 return density.getDpiValue() / (float) Density.MEDIUM.getDpiValue();
}

But whatever, it's not a big deal.",https://android-review.googlesource.com/,-1,-1,0,-1,0,Inc
